community 0
order,index,name,u_value,percetage(%)
1,57,58,0.0282049199618,2.82049199618
2,33,34,0.0272463473989,2.72463473989
3,43,44,0.0268773890327,2.68773890327
4,59,60,0.0268073867248,2.68073867248
5,42,43,0.0264595117997,2.64595117997
6,63,64,0.0263018820958,2.63018820958
7,44,45,0.026234649144,2.6234649144
8,34,35,0.0261342351169,2.61342351169
9,41,42,0.0261218181681,2.61218181681
10,56,57,0.0258367666746,2.58367666746
11,53,54,0.0258356522361,2.58356522361
12,38,39,0.0258190717873,2.58190717873
13,50,51,0.0256432291542,2.56432291542
14,40,41,0.0256149030801,2.56149030801
15,73,74,0.0256088931949,2.56088931949
16,55,56,0.0255839305539,2.55839305539
17,45,46,0.0254952181304,2.54952181304
18,37,38,0.0250923912343,2.50923912343
19,39,40,0.0250758505362,2.50758505362
20,100,101,0.0247747945928,2.47747945928
21,11,12,0.0243275631638,2.43275631638
22,74,75,0.0240794415155,2.40794415155
23,19,20,0.0238237815537,2.38237815537
24,114,115,0.023438600504,2.3438600504
25,84,85,0.0223419270702,2.23419270702
26,109,110,0.0208141772,2.08141772
27,35,36,0.020658175707,2.0658175707
28,79,80,0.0205614846107,2.05614846107
29,17,18,0.0198830263865,1.98830263865
30,77,78,0.0176893730293,1.76893730293
31,105,106,0.0152146352688,1.52146352688
32,7,8,0.0145075509144,1.45075509144
33,49,50,0.0135648736381,1.35648736381
34,48,49,0.0133546989871,1.33546989871
35,32,33,0.0108271354251,1.08271354251
36,47,48,0.00914853295983,0.914853295983
37,62,63,0.00875582585875,0.875582585875
38,54,55,0.00800871377843,0.800871377843
39,52,53,0.00742924244956,0.742924244956
40,108,109,0.00599850298216,0.599850298216
41,61,62,0.00508986069632,0.508986069632
42,60,61,0.00490474411976,0.490474411976
43,15,16,0.00461984880727,0.461984880727
44,31,32,0.00417860205766,0.417860205766
45,102,103,0.0040609260167,0.40609260167
46,112,113,0.0039578934687,0.39578934687
47,75,76,0.00357706913069,0.357706913069
48,25,26,0.00353530894122,0.353530894122
49,8,9,0.0034754187618,0.34754187618
50,99,100,0.00347083742917,0.347083742917
51,66,67,0.00336143301521,0.336143301521
52,110,111,0.00311890124768,0.311890124768
53,122,123,0.00298343726431,0.298343726431
54,96,97,0.00297958664792,0.297958664792
55,126,127,0.00294055242797,0.294055242797
56,58,59,0.00293124125406,0.293124125406
57,107,108,0.00291527377751,0.291527377751
58,117,118,0.00282994893311,0.282994893311
59,98,99,0.00282951011881,0.282951011881
60,88,89,0.00281094829209,0.281094829209
61,6,7,0.0027902384243,0.27902384243
62,20,21,0.00276725622196,0.276725622196
63,116,117,0.00276637245673,0.276637245673
64,93,94,0.00267207454256,0.267207454256
65,28,29,0.00264190075879,0.264190075879
66,86,87,0.00261254779948,0.261254779948
67,106,107,0.00261085138392,0.261085138392
68,70,71,0.00252810346496,0.252810346496
69,78,79,0.0024549698153,0.24549698153
70,82,83,0.00245310038391,0.245310038391
71,23,24,0.00239346977703,0.239346977703
72,18,19,0.0023506510037,0.23506510037
73,115,116,0.00229739516747,0.229739516747
74,68,69,0.00226278741965,0.226278741965
75,103,104,0.00222949078333,0.222949078333
