community 0
order,index,name,u_value,percetage(%)
1,91,92,0.0267808684453,2.67808684453
2,87,88,0.0262264574048,2.62264574048
3,65,66,0.0261211541757,2.61211541757
4,69,70,0.0260942278905,2.60942278905
5,78,79,0.0260010407725,2.60010407725
6,76,77,0.0256523310615,2.56523310615
7,93,94,0.0254405250719,2.54405250719
8,80,81,0.0253789294207,2.53789294207
9,66,67,0.0253026822084,2.53026822084
10,61,62,0.0249431021194,2.49431021194
11,72,73,0.0249334962554,2.49334962554
12,22,23,0.0247753771531,2.47753771531
13,70,71,0.0245144068266,2.45144068266
14,81,82,0.0244830281155,2.44830281155
15,71,72,0.0244364955569,2.44364955569
16,127,128,0.0241500249027,2.41500249027
17,88,89,0.0240322014123,2.40322014123
18,83,84,0.0238070212368,2.38070212368
19,95,96,0.0237645464284,2.37645464284
20,85,86,0.0237494033608,2.37494033608
21,64,65,0.0237261821357,2.37261821357
22,52,53,0.0234721102494,2.34721102494
23,94,95,0.0233088222515,2.33088222515
24,92,93,0.0232611439895,2.32611439895
25,113,114,0.0232188654464,2.32188654464
26,31,32,0.0223210550968,2.23210550968
27,125,126,0.0221977666868,2.21977666868
28,75,76,0.0217976470821,2.17976470821
29,48,49,0.0192913595172,1.92913595172
30,12,13,0.0149244564217,1.49244564217
31,45,46,0.0136719722967,1.36719722967
32,107,108,0.0129744924392,1.29744924392
33,68,69,0.0111176988696,1.11176988696
34,120,121,0.00805907074405,0.805907074405
35,77,78,0.00736619451517,0.736619451517
36,51,52,0.00700859301633,0.700859301633
37,79,80,0.00695000161295,0.695000161295
38,24,25,0.00656515279739,0.656515279739
39,90,91,0.00637393377623,0.637393377623
40,41,42,0.00584340557159,0.584340557159
41,16,17,0.0055982240945,0.55982240945
42,5,6,0.00535494746673,0.535494746673
43,55,56,0.00525575527349,0.525575527349
44,20,21,0.00521519033802,0.521519033802
45,117,118,0.00494399513824,0.494399513824
46,50,51,0.00493725172669,0.493725172669
47,67,68,0.0048545993467,0.48545993467
48,1,2,0.00474932344788,0.474932344788
49,38,39,0.00449342334046,0.449342334046
50,19,20,0.00426186512149,0.426186512149
51,63,64,0.00424800389376,0.424800389376
52,27,28,0.00423676153239,0.423676153239
53,30,31,0.00412238601049,0.412238601049
54,29,30,0.00384494319895,0.384494319895
55,32,33,0.00381361739439,0.381361739439
56,6,7,0.0037498349673,0.37498349673
57,82,83,0.0036884394181,0.36884394181
58,73,74,0.00364554967576,0.364554967576
59,0,1,0.00364152385531,0.364152385531
60,46,47,0.00361656523745,0.361656523745
61,99,100,0.00347429345117,0.347429345117
62,4,5,0.00345149837989,0.345149837989
63,126,127,0.00338317034429,0.338317034429
64,56,57,0.00332607834273,0.332607834273
65,7,8,0.00327813510945,0.327813510945
66,14,15,0.00327319594958,0.327319594958
67,104,105,0.00324849192079,0.324849192079
68,18,19,0.00322122811952,0.322122811952
69,3,4,0.00304080510884,0.304080510884
70,106,107,0.00301165466288,0.301165466288
71,26,27,0.00293960228304,0.293960228304
72,43,44,0.00289500930438,0.289500930438
73,25,26,0.00289144127948,0.289144127948
74,2,3,0.00277633545482,0.277633545482
75,40,41,0.00276936422869,0.276936422869
76,35,36,0.00268793258366,0.268793258366
77,15,16,0.00259779260869,0.259779260869
78,9,10,0.00258108115578,0.258108115578
79,115,116,0.00256387251032,0.256387251032
80,23,24,0.00250268842972,0.250268842972
81,89,90,0.00249502409616,0.249502409616
82,105,106,0.00242238305175,0.242238305175
83,10,11,0.00240189181994,0.240189181994
84,62,63,0.00239408516851,0.239408516851
85,102,103,0.00213429000885,0.213429000885
86,84,85,0.00210734047296,0.210734047296
87,121,122,0.00205693601667,0.205693601667
88,59,60,0.0020451665126,0.20451665126
89,109,110,0.0020267522117,0.20267522117
90,103,104,0.00200404100377,0.200404100377
91,17,18,0.00194662447686,0.194662447686
92,36,37,0.00167225596066,0.167225596066
93,122,123,0.00164534193474,0.164534193474
94,47,48,0.00163275140836,0.163275140836
95,74,75,0.00160235492249,0.160235492249
96,11,12,0.00156982526052,0.156982526052
97,118,119,0.00152660262043,0.152660262043
98,98,99,0.00152552309862,0.152552309862
99,58,59,0.00145098395587,0.145098395587
100,39,40,0.00139026319023,0.139026319023
101,54,55,0.00124215229307,0.124215229307
102,37,38,0.00120222791098,0.120222791098
103,57,58,0.00116819274562,0.116819274562
104,60,61,0.00107028596448,0.107028596448
105,110,111,0.000943516767238,0.0943516767238
106,97,98,0.000941750016246,0.0941750016246
107,114,115,0.000865672813001,0.0865672813001
108,42,43,0.000688016493413,0.0688016493413
109,13,14,0.000581203095584,0.0581203095584
110,111,112,0.000341949205427,0.0341949205427
111,33,34,0.000323545487891,0.0323545487891
112,119,120,0.000259570390378,0.0259570390378
113,34,35,8.57298307009e-05,0.00857298307009
114,44,45,7.04365770275e-06,0.000704365770275
115,101,102,3.92306370161e-06,0.000392306370161
116,21,22,1.03145203066e-06,0.000103145203066
117,86,87,3.22831584311e-07,3.22831584311e-05
118,8,9,3.11964953048e-07,3.11964953048e-05
119,112,113,6.45126388777e-10,6.45126388777e-08
120,116,117,1.34955997304e-10,1.34955997304e-08
121,96,97,2.75511437994e-12,2.75511437994e-10
122,53,54,3.90051655908e-14,3.90051655908e-12
123,100,101,1.89178227433e-14,1.89178227433e-12
124,123,124,1.11680926126e-15,1.11680926126e-13
125,28,29,6.60094293991e-19,6.60094293991e-17
126,124,125,2.68505821382e-24,2.68505821382e-22
127,49,50,1.93822752086e-28,1.93822752086e-26
128,108,109,1.55542138905e-36,1.55542138905e-34
community 1
order,index,name,u_value,percetage(%)
1,121,122,0.0268170524858,2.68170524858
2,104,105,0.0260417061036,2.60417061036
3,111,112,0.0259790907565,2.59790907565
4,28,29,0.0259180503667,2.59180503667
5,96,97,0.0258845534632,2.58845534632
6,115,116,0.0257395714967,2.57395714967
7,108,109,0.0256981415546,2.56981415546
8,86,87,0.0256467733064,2.56467733064
9,110,111,0.0256245718796,2.56245718796
10,60,61,0.0255730803689,2.55730803689
11,112,113,0.0255380730839,2.55380730839
12,118,119,0.0254483596485,2.54483596485
13,122,123,0.0253894686086,2.53894686086
14,106,107,0.0253294708002,2.53294708002
15,124,125,0.0252168301675,2.52168301675
16,89,90,0.0251209343738,2.51209343738
17,101,102,0.0250479109057,2.50479109057
18,103,104,0.0249291699838,2.49291699838
19,119,120,0.0248935461799,2.48935461799
20,98,99,0.0245757435717,2.45757435717
21,123,124,0.0239096750669,2.39096750669
22,126,127,0.0238965765371,2.38965765371
23,116,117,0.0238348881227,2.38348881227
24,36,37,0.0233107592588,2.33107592588
25,117,118,0.0222810907489,2.22810907489
26,62,63,0.0222180712424,2.22180712424
27,26,27,0.0211091361253,2.11091361253
28,49,50,0.0208199587962,2.08199587962
29,90,91,0.0192276962689,1.92276962689
30,120,121,0.0157396445046,1.57396445046
31,74,75,0.0155419382841,1.55419382841
32,107,108,0.0144366183038,1.44366183038
33,30,31,0.0135015566094,1.35015566094
34,54,55,0.0128094948856,1.28094948856
35,97,98,0.0125108933224,1.25108933224
36,102,103,0.00729005416063,0.729005416063
37,105,106,0.00690165337263,0.690165337263
38,109,110,0.00639379187924,0.639379187924
39,113,114,0.00625842995918,0.625842995918
40,53,54,0.00560743759922,0.560743759922
41,29,30,0.0055861254641,0.55861254641
42,72,73,0.00545235216897,0.545235216897
43,39,40,0.00531064557675,0.531064557675
44,71,72,0.00513664791597,0.513664791597
45,82,83,0.00506131558209,0.506131558209
46,35,36,0.00495193002336,0.495193002336
47,11,12,0.00472409359834,0.472409359834
48,16,17,0.00469018349902,0.469018349902
49,34,35,0.00449821929399,0.449821929399
50,21,22,0.00439911258758,0.439911258758
51,42,43,0.00406031371747,0.406031371747
52,114,115,0.00394144908314,0.394144908314
53,65,66,0.00392292749874,0.392292749874
54,87,88,0.00385569210712,0.385569210712
55,66,67,0.00381382275455,0.381382275455
56,23,24,0.00379538289334,0.379538289334
57,37,38,0.00367892125455,0.367892125455
58,70,71,0.00366207619326,0.366207619326
59,95,96,0.00353355745052,0.353355745052
60,33,34,0.00350866375738,0.350866375738
61,78,79,0.00328321268429,0.328321268429
62,83,84,0.00312942220595,0.312942220595
63,100,101,0.00312861199578,0.312861199578
64,61,62,0.00311315847653,0.311315847653
65,45,46,0.00305556627102,0.305556627102
66,7,8,0.002713507137,0.2713507137
67,8,9,0.00266980301778,0.266980301778
68,127,128,0.0025317313034,0.25317313034
69,88,89,0.00249480875528,0.249480875528
70,125,126,0.00249385588218,0.249385588218
71,14,15,0.00249306852613,0.249306852613
72,94,95,0.00243798286091,0.243798286091
73,22,23,0.00234709876865,0.234709876865
74,48,49,0.00231929007053,0.231929007053
75,79,80,0.00219340271764,0.219340271764
76,58,59,0.00211681977821,0.211681977821
77,32,33,0.0020730776572,0.20730776572
78,56,57,0.0019739103712,0.19739103712
79,27,28,0.00196338616321,0.196338616321
80,84,85,0.00182841395353,0.182841395353
81,50,51,0.00178659707914,0.178659707914
82,64,65,0.00177495801911,0.177495801911
83,77,78,0.00174699882753,0.174699882753
84,76,77,0.00172803343717,0.172803343717
85,52,53,0.0016746903873,0.16746903873
86,19,20,0.00163396930348,0.163396930348
87,93,94,0.00161869201738,0.161869201738
88,91,92,0.00158035005239,0.158035005239
89,80,81,0.0015217034642,0.15217034642
90,85,86,0.00151316558627,0.151316558627
91,57,58,0.00147625415408,0.147625415408
92,75,76,0.00143175250646,0.143175250646
93,9,10,0.00139519909579,0.139519909579
94,1,2,0.00136321685786,0.136321685786
95,51,52,0.00129907487038,0.129907487038
96,59,60,0.00123830568162,0.123830568162
97,43,44,0.00121653022062,0.121653022062
98,10,11,0.00109141078096,0.109141078096
99,17,18,0.0010900755894,0.10900755894
100,69,70,0.00101660026657,0.101660026657
101,92,93,0.000901346660306,0.0901346660306
102,44,45,0.000853052712335,0.0853052712335
103,38,39,0.00063938458048,0.063938458048
104,55,56,0.00056446472396,0.056446472396
105,63,64,0.000553521925007,0.0553521925007
106,31,32,0.000288133187464,0.0288133187464
107,12,13,0.00026650324125,0.026650324125
108,18,19,0.000199425886556,0.0199425886556
109,68,69,0.000194243117187,0.0194243117187
110,81,82,0.000174694099711,0.0174694099711
111,40,41,0.000126458014698,0.0126458014698
112,41,42,4.97235807845e-05,0.00497235807845
113,73,74,3.42459421143e-05,0.00342459421143
114,2,3,1.64276183324e-06,0.000164276183324
115,25,26,5.53315261742e-07,5.53315261742e-05
116,3,4,2.16057576029e-09,2.16057576029e-07
117,47,48,7.11687430645e-10,7.11687430645e-08
118,4,5,1.08779105325e-11,1.08779105325e-09
119,5,6,6.61128795445e-15,6.61128795445e-13
120,13,14,1.30304984113e-15,1.30304984113e-13
121,99,100,3.22114510441e-16,3.22114510441e-14
122,15,16,2.10408009338e-16,2.10408009338e-14
123,24,25,1.13261279882e-16,1.13261279882e-14
124,20,21,2.58310460357e-17,2.58310460357e-15
125,0,1,1.18408410985e-20,1.18408410985e-18
126,46,47,1.14942621416e-20,1.14942621416e-18
127,67,68,8.31103587877e-21,8.31103587877e-19
128,6,7,1.02300420976e-27,1.02300420976e-25
community 2
order,index,name,u_value,percetage(%)
1,33,34,0.0277567252733,2.77567252733
2,59,60,0.0274486167387,2.74486167387
3,50,51,0.0266805257375,2.66805257375
4,42,43,0.0264304926901,2.64304926901
5,43,44,0.0263667394882,2.63667394882
6,37,38,0.026290966047,2.6290966047
7,57,58,0.0261177412558,2.61177412558
8,56,57,0.0258766470691,2.58766470691
